,notebook_id,total_execution_time,name,tdp_watts,total_co2_emissions
0,0004d0b59e,313.50731402218355,A100 PCIe 40/80GB,250,0.019811920538901878
1,006f52e910,129.32237218071128,A100 SXM4 80 GB,400,0.013075928742716366
2,0070d23b06,661.4169923210145,AGX Xavier,30,0.005015745525101027
3,0084ae4bc2,453.4320509617545,AMD RX480,150,0.01719263193229986
4,00ac8ed3b4,69.27089845400414,GTX 1080 Ti,250,0.004377535943968317
5,00e26af6ac,1351.861149791932,GTX 1080,180,0.0615096823155329
6,00ec53c468,1000.4580943348058,GTX 750,250,0.06322339346143564
7,015e319335,1588.402132193646,GTX TITAN X,250,0.10037819029834846
8,01882513d5,5875.422156715453,Quadro K6000,225,0.3341646351631914
9,0189caa552,170.09894542063867,Quadro P6000,250,0.010749308356443138
10,01e00f2f4b,2044.1357442708966,RTX 2080 Ti,250,0.12917802272823026
11,02180771a9,1673.401389416711,RTX 2080,215,0.09094471717760541
12,028ee72415,310.5707460718834,RTX 8000,260,0.020411399589057667
13,02bf86214e,955.829310334551,T4,70,0.01691286863008636
14,02e74f10e0,4314.398775349318,Tesla K40c,245,0.26719311304559185
15,0336dcbab0,247.8336862233764,Tesla K80,300,0.018794054538606043
16,0353ab4cbe,836.6912456145167,Tesla M40 24GB,250,0.0528742384381396
17,03593ce517,1391.703578804097,Tesla P100,250,0.08794793449387002
18,03afdbd66e,3674.4252373832996,Tesla P40,250,0.23220326152908355
19,03e0704b56,785.7684953909973,Tesla V100-PCIE-16GB,300,0.059587444233817295
20,03e7ef47ce,384.8906870400294,Tesla V100-SXM2-16GB,250,0.02432295313933519
21,04025959b1,2829.57530082674,Tesla V100-SXM2-32GB,300,0.21457612697936115
22,04048aeca2,443.7940428163749,Titan RTX,280,0.031410756141558985
23,04115ec378,1739.4388814928484,Titan V,250,0.1099228737610064
24,0415740eaa,686.3715912351998,TITAN X Pascal,250,0.04337487139055777
25,043c3d7e48,2774.167197054575,Titan Xp,250,0.1753119548138655
26,045117b0e0,1007.9893429867101,TPUv2 Chip,221,0.05631020465779368
27,051928341b,161.25917631489625,TPUv3 Chip,283,0.011535854354548673
28,0533a88890,4384.103947876154,RTX 3080,320,0.3546252971170934
29,0537fb40a6,1172.5087975003944,RTX 3080 TI,350,0.10373445888996545
30,05546b0e38,424.38998259230095,RTX 3090,350,0.03754672484879107
31,0584ce565c,528.7312980391243,RTX A4000,140,0.01871121315838457
32,05a5cf0698,745.8353213629991,RTX A5000,230,0.04336203687813215
33,062ddb6c72,1004.8245435449911,RTX A6000,300,0.07619919455216183
34,063e26c670,325.66450473424425,Intel Xeon E5-2699,145,0.011936508722134313
35,0640966322,1172.3394578158245,Intel Xeon E5-2630v4,85,0.02518901585057056
36,069654d5ce,1481.1509576840817,Intel Xeon E5-2650,105,0.039312215001865
37,06997f04a7,435.8307850424717,Intel Xeon Gold 5220,125,0.013771042166272543
38,06eb61b839,1115.814785649332,Intel Xeon Gold 6148,150,0.04230797728920384
39,070dbb6024,1839.0550908475802,AMD EPYC 7763,280,0.130164232541101
40,072b030ba1,2458.275289464897,A100 PCIe 40/80GB,250,0.15534934120924004
41,0731460a8a,1245.6129282245379,A100 SXM4 80 GB,400,0.12594530718714772
42,0738069b24,1454.0995862776372,AGX Xavier,30,0.011026921862605416
43,073b00ab99,1132.2520946537643,AMD RX480,150,0.0429312252556219
44,074177d3eb,1126.8654267729662,GTX 1080 Ti,250,0.0712116346085694
45,076023edc9,-49.310774075893946,GTX 1080,180,-0.0022436402204531747
46,0771fc6f0f,86.6283274605848,GTX 750,250,0.005474429027023067
47,07a96b1f61,641.5561317761365,GTX TITAN X,250,0.04054278332751973
48,07cb5f8650,978.5003515216398,Quadro K6000,225,0.055652207492793274
49,0804083708,134.0349330375748,Quadro P6000,250,0.008470263129457853
50,08419be897,369.25014063892985,RTX 2080 Ti,250,0.023334557498710152
51,086af6e464,674.8639638992566,RTX 2080,215,0.03667698181580265
52,087408522c,2507.2605300869445,RTX 8000,260,0.16478273372738086
53,0887f1a5b9,432.79500665327396,T4,70,0.007658067201059321
54,08b255a5d4,717.8344234296704,Tesla K40c,245,0.0444558846399014
55,08d98638c6,184.188926918444,Tesla K80,300,0.013967660291315338
56,08f38e0434,651.3252695126465,Tesla M40 24GB,250,0.041160138559479746
57,0937fb5864,891.919487246521,Tesla P100,250,0.05636435648571765
58,093b60fd05,2930.7222351865776,Tesla P40,250,0.18520536347359623
59,097e26b2ff,494.89148518022984,Tesla V100-PCIE-16GB,300,0.03752927095950077
60,09d37c08f7,251.118137410453,Tesla V100-SXM2-16GB,250,0.015869271183577238
61,09e7655fc1,1069.834706009827,Tesla V100-SXM2-32GB,300,0.08112913187241189
62,0a09c8844b,1647.7742417398113,Titan RTX,280,0.11662579910980665
63,0a0a0c8aaa,1434.2756250502946,Titan V,250,0.09063825130526168
64,0a1bf96b71,540.81622244358,TITAN X Pascal,250,0.03417658072386513
65,0a2a51dac6,1823.0975466955344,Titan Xp,250,0.11520963663145391
66,0aa1883c64,2859.448451764126,TPUv2 Chip,221,0.1597399105928565
67,0ae3f79a30,2357.6848362138953,TPUv3 Chip,283,0.16865960440837902
68,0b105cf150,5999.554210543471,RTX 3080,320,0.48529727391951627
69,0b6ace9e89,7110.14447495658,RTX 3080 TI,350,0.6290502820204641
70,0b8aff0438,1236.9684253819817,RTX 3090,350,0.109437345412267
71,0bb4aec171,1422.9313429612496,RTX A4000,140,0.050355959192573116
72,0bed45bd57,2036.6030554077338,RTX A5000,230,0.11840583874912186
